16:49:27.493 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
16:49:27.493 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
16:49:27.493 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
16:49:27.493 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
16:49:27.493 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
16:49:27.493 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
16:49:27.493 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
16:49:27.493 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
16:51:34.515 [main] INFO  com.solvd.agency.Main - Welcome to the Travel Agency
16:51:34.517 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
16:51:34.517 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
16:51:34.518 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
16:51:34.518 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
16:51:34.518 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
16:51:34.518 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
16:51:34.518 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
16:51:34.518 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
16:51:34.518 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
16:51:34.518 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
16:51:34.518 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
16:51:34.518 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
16:52:30.901 [main] INFO  com.solvd.agency.Main - Welcome to the Travel Agency
16:52:30.903 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
16:52:30.903 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
16:52:30.903 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
16:52:30.903 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
16:52:30.903 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
16:52:30.903 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
16:52:30.904 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
16:52:30.904 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
16:52:30.904 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
16:52:30.904 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
16:52:30.904 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
16:52:30.904 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
16:52:57.441 [main] INFO  com.solvd.agency.Main - Welcome to the Travel Agency
16:52:57.443 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
16:52:57.443 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
16:52:57.443 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
16:52:57.444 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
16:52:57.444 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
16:52:57.444 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
16:52:57.444 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
16:52:57.444 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
16:52:57.444 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
16:52:57.444 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
16:52:57.444 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
16:52:57.444 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
16:53:03.046 [main] INFO  com.solvd.agency.utils.CreationUtils - Destination selected: Name: Hotel A, No reviews available,  testCountry testCity testStreet
16:53:03.844 [main] INFO  com.solvd.agency.utils.CreationUtils - Transport selected: Transport Transport B, availableSeats 100, Taken Seats=[]
16:53:07.627 [main] INFO  com.solvd.agency.utils.CreationUtils - Travel created successfully: Travel{ id: 1401363238, destination=Name: Hotel A, No reviews available,  testCountry testCity testStreet, transport=Transport Transport B, availableSeats 100, Taken Seats=[], localDate=2024-01-06, price=2000.0, customersCustomers: }
16:53:07.628 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
16:53:07.628 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
16:53:07.628 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
16:53:07.628 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
16:53:07.628 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
16:53:07.628 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
16:53:07.628 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
16:53:07.628 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
16:53:07.629 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
16:53:07.629 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
16:53:07.629 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
16:53:07.629 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
16:53:16.572 [main] INFO  com.solvd.agency.service.Travel - Travel{ id: 1401363238, destination=Name: Hotel A, No reviews available,  testCountry testCity testStreet, transport=Transport Transport B, availableSeats 100, Taken Seats=[], localDate=2024-01-06, price=2000.0, customersCustomers: }
16:53:16.572 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
16:53:16.572 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
16:53:16.572 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
16:53:16.572 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
16:53:16.573 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
16:53:16.573 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
16:53:16.573 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
16:53:16.573 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
16:53:16.573 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
16:53:16.573 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
16:53:16.573 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
16:53:16.574 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
16:53:28.776 [main] INFO  com.solvd.agency.service.Travel - Travel{ id: 1401363238, destination=Name: Hotel A, No reviews available,  testCountry testCity testStreet, transport=Transport Transport B, availableSeats 100, Taken Seats=[], localDate=2024-01-06, price=2000.0, customersCustomers: }
16:53:28.777 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
16:53:28.777 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
16:53:28.777 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
16:53:28.777 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
16:53:28.777 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
16:53:28.777 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
16:53:28.777 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
16:53:28.778 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
16:53:28.778 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
16:53:28.778 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
16:53:28.778 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
16:53:28.778 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
16:53:32.823 [main] INFO  com.solvd.agency.Main - Enter name: 
16:53:34.367 [main] INFO  com.solvd.agency.Main - Enter surname: 
16:53:35.351 [main] INFO  com.solvd.agency.Main - Enter phone number: 
16:53:38.679 [main] INFO  com.solvd.agency.utils.CreationUtils - Customer created
16:53:38.680 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
16:53:38.680 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
16:53:38.680 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
16:53:38.680 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
16:53:38.680 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
16:53:38.680 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
16:53:38.680 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
16:53:38.680 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
16:53:38.680 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
16:53:38.680 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
16:53:38.680 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
16:53:38.680 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
16:53:45.651 [main] INFO  com.solvd.agency.utils.Utils - Enter the phone number:
16:53:48.468 [main] INFO  com.solvd.agency.utils.Utils - Booking transport for customer: jakub
16:53:48.468 [main] INFO  com.solvd.agency.utils.Utils - Pass travel id
16:53:58.140 [main] INFO  com.solvd.agency.utils.Utils - Last minute discount!
16:53:58.141 [main] INFO  com.solvd.agency.utils.Utils - Insufficient balance to book the flight.
16:53:58.141 [main] INFO  com.solvd.agency.person.Agent - {}
16:53:58.141 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
